id,name,style_family,color_palette,typography,layout_philosophy,animation_style,geometry,suitable_sectors,emotion_profile,risk_level,anti_patterns,signature_element,css_features,description
industrial-steel,The Industrial Steel,Industrial,"#2C2C2C,#D4D4D4,#FF6B00,#1A1A1A,#8A8A8A","IBM Plex Mono + IBM Plex Sans | Industrial monospace headers","Blueprint-style grid with technical annotations","Mechanical slide, gear-rotation reveals, precision easing","Sharp 0-2px radius, thick borders 3px, exposed bolts/rivets aesthetic","manufacturing,engineering,construction,automotive,tools","Strength + Reliability + Precision",3,"No delicate fonts, no pastels, no organic curves, no whimsical animations","Technical annotation labels that appear alongside content like engineering specs","container-queries,anchor-positioning","Heavy industrial aesthetic. Feels engineered, not designed — every element has a purpose."
zen-breath,The Zen Breath,Minimal,"#F8F6F3,#3D3D3D,#8CAE68,#C4B5A0","Zen Maru Gothic + Noto Sans | Japanese-inspired spacing","Ample breathing room with asymmetric balance","Ultra-slow parallax, breathing scale animation, subtle sway","Soft 8px radius, no visible borders, shadow-only depth","wellness,spa,meditation,lifestyle,tea","Calm + Balance + Mindfulness",1,"No bright colors, no fast animations, no dense content, no aggressive CTAs","Breathing animation — subtle scale pulse synced to meditation pace","scroll-timeline,view-transitions","Japanese-inspired tranquility. Whitespace is the primary design element."
art-deco-gatsby,The Art Deco Revival,Artistic,"#0C1821,#CDB081,#1B2838,#F5E6CC,#8B7355","Poiret One + Raleway | Decorative art deco display + elegant sans","Symmetrical layout with ornamental dividers and fan motifs","Gold reveal animations, curtain transitions, geometric wipe","Geometric art deco: fan shapes, chevrons, stepped edges","luxury,hotel,event,fashion,jewelry","Glamour + Elegance + Nostalgia",3,"No modern minimalism, no sans-serif only, no flat design, no tech aesthetic","Gold geometric ornamental dividers that animate between sections","view-transitions,scroll-timeline","1920s glamour meets modern web. Gatsby-era opulence translated to pixels."
data-viz-architect,The Data Viz Architect,Futuristic,"#0A1628,#00D4FF,#FF4081,#FFFFFF,#1E3A5F","Space Grotesk + Inter | Data-focused with clear hierarchy","Dashboard-inspired layout with card grids and live metrics","Counter animations, chart draw-ins, real-time data pulse","Sharp 4px radius, thin borders, dashboard card aesthetic","fintech,saas,analytics,enterprise,data","Intelligence + Control + Transparency",2,"No decorative elements, no organic shapes, no vague copy, no full-bleed images","Live-updating metric counters that animate numbers in hero section","container-queries,anchor-positioning,scroll-timeline","Data-first design where numbers tell the story. Every visual serves information."
grunge-revival,The Grunge Revival,Retro,"#1A1A1A,#D4C5A9,#8B0000,#4A4A4A","Zilla Slab + Archivo | Distressed slab serif + condensed sans","Layered collage with torn edges and texture overlays","Rough shake transitions, tape-peel reveals, noise grain","Irregular torn edges, no clean borders, distressed textures","music,streetwear,indie,skateboard,tattoo","Rebellion + Raw Energy + Underground",5,"No clean designs, no corporate feel, no smooth gradients, no minimalism","Paper tear texture overlays that make every section feel physically ripped","view-transitions,scroll-timeline","90s zine culture meets web design. Deliberately rough and unapologetically raw."
neo-miami,Neo Miami Vice,Expressive,"#FF1493,#00CED1,#FFD700,#0D0D0D,#FF6EC7","Righteous + Poppins | Retro-futuristic display + modern body","Wide cinematic sections with sunset gradient horizons","Neon flicker, palm sway, synthwave pulse animations","Mixed: rounded 12px for cards, sharp for containers","nightlife,music,fashion,travel,entertainment","Energy + Glamour + Excitement",4,"No muted palettes, no corporate layouts, no serif fonts, no minimal approach","Animated sunset gradient horizon that shifts colors as you scroll","scroll-timeline,view-transitions","80s Miami Vice nostalgia remixed with modern neon energy. Every pixel vibrates."
typographic-brutalism,The Type Demolisher,Brutalist,"#FFFFFF,#000000,#FF0000","Bebas Neue + Space Grotesk | Massive 200px+ display demolishing grid","Typography IS the layout — text as architecture","Letter-by-letter reveal, word collision, type scramble on hover","Sharp 0px, text clips through sections, no containers","agency,studio,portfolio,editorial","Impact + Confidence + Artistry",5,"No small text, no images as primary content, no subtle approach, no body-text focus","Giant typography that bleeds across sections and clips through content","view-transitions,scroll-timeline","Text is the entire visual identity. Words become architecture, not just content."
forest-cabin,The Forest Cabin,Organic,"#2C1810,#F5E6D3,#4A7C59,#8B6914,#D2B48C","Merriweather + Lato | Warm serif headers + clean readable body","Vertical storytelling with wood-grain section dividers","Slow nature parallax, falling leaf particles, gentle fade","Rounded 12-16px, wood-texture borders, natural edges","outdoor,camping,craft,woodwork,eco","Cozy + Authentic + Adventure",2,"No tech aesthetic, no neon colors, no sharp geometry, no urban feel","Wood grain texture dividers between sections that feel tangible","scroll-timeline,view-transitions","Cabin in the woods aesthetic. Digital craftsmanship that smells like pine."
cyber-glitch,The Cyber Glitch,Experimental,"#000000,#00FF41,#FF0040,#FFFFFF","Share Tech Mono + Roboto Mono | Terminal monospace throughout","Fragmented grid with intentional misalignment and data corruption","Glitch distortion, RGB split, matrix rain, data stream","Sharp 0px, broken borders, pixel corruption effects","cybersecurity,hacking,crypto,tech,gaming","Danger + Intelligence + Underground",5,"No organic shapes, no warm colors, no friendly feel, no rounded anything","RGB chromatic aberration glitch that triggers on scroll boundaries","scroll-timeline,view-transitions","Digital corruption as aesthetic. The interface itself seems to be hacking reality."
pastel-dream,The Pastel Dreamer,Playful,"#FFE4E1,#E0F0FF,#F0FFF0,#FFF0F5,#2D2D2D","Quicksand + Nunito | Soft rounded sans with gentle weight","Floating cloud-like sections with soft shadow depth","Float up reveals, gentle bob animation, cloud drift","Super rounded 20-28px, soft shadows only, no hard borders","baby,wedding,beauty,lifestyle,stationery","Tenderness + Softness + Dream",1,"No dark themes, no sharp edges, no bold colors, no aggressive typography","Soft floating shadow that makes cards feel like they hover on clouds","scroll-timeline,container-queries","Dreamy pastel universe where everything floats gently. Whisper-soft design language."
afro-futurism,The Afro Futurist,Cultural,"#1A0A2E,#FFD700,#FF6B35,#E8D5B7,#0A0A0A","Josefin Sans + Work Sans | Geometric african-inspired display","Tribal pattern borders with futuristic layout structure","Drum rhythm stagger animations, tribal mask morphs","Mixed: geometric tribal patterns, sharp futuristic edges","culture,music,fashion,art,social-impact","Pride + Innovation + Heritage",4,"No generic Western layouts, no corporate blandness, no pastels, no safe colors","Geometric tribal pattern borders that animate with cultural rhythm","scroll-timeline,view-transitions,container-queries","African heritage meets science fiction. Cultural patterns encoded in futuristic interfaces."
concrete-poetry,The Concrete Poet,Artistic,"#E8E4DF,#2B2B2B,#6B4226,#A0522D","EB Garamond + Crimson Text | Classical serif poetry typography","Scattered text layout where words become visual composition","Letter spacing animations, word drift, gravity text falls","No containers, text flows freely, minimal geometric constraints","poetry,literature,gallery,art,publishing","Contemplation + Beauty + Meaning",5,"No grid structure, no UI components, no tech feel, no standard navigation","Words physically scatter and recompose into meaning on scroll","scroll-timeline,view-transitions","Where typography becomes art installation. Words aren't read — they're experienced."
startup-velocity,The Startup Velocity,Expressive,"#FFFFFF,#0F172A,#3B82F6,#10B981,#F59E0B","Cal Sans + Inter | Modern SaaS-breaking display + clean body","Angled sections with speed lines and momentum feel","Fast slide-ins, velocity trails, number counters, momentum scrolling","Mixed 8px radius, angled clip-paths 3-5deg, speed lines","startup,saas,productivity,developer-tools","Speed + Growth + Momentum",2,"No slow animations, no heavy imagery, no traditional corporate, no static sections","Angled section dividers with velocity lines that create forward momentum","scroll-timeline,view-transitions,container-queries","Startup energy captured in design. Everything accelerates forward — no brakes."
museum-white,The Museum Curator,Minimal,"#FFFFFF,#111111,#888888","Cormorant + Karla | Elegant serif display + minimal sans body","Gallery-style layout with generous framing and white walls","Slow crossfade, exhibition reveal, spotlight focus","Sharp 0px radius, thin 1px frames, museum-like borders","art,gallery,photography,architecture,luxury","Appreciation + Contemplation + Focus",2,"No busy backgrounds, no colorful accents, no playful elements, no dense content","Museum-style white framing — content displayed like art on gallery walls","view-transitions,container-queries","The website as art gallery. Every element curated, framed, and spotlit."
solar-punk,The Solar Punk,Futuristic,"#1A4D2E,#FFD93D,#6BCB77,#4D96FF,#F0F7F4","Outfit + DM Sans | Optimistic futuristic with organic warmth","Bio-tech fusion layout mixing organic curves with tech grids","Growing vine animations, solar flare reveals, photosynthesis pulse","Mixed: organic curves meet tech grid, 12px radius with leaf shapes","sustainability,cleantech,energy,agriculture,environment","Hope + Innovation + Nature",3,"No dystopian dark, no pure tech aesthetic, no corporate grey, no cynicism","Growing vine SVG animations that organically connect sections","scroll-timeline,view-transitions,container-queries","Optimistic future where tech and nature merge. Green revolution in pixel form."
noir-detective,The Noir Detective,Retro,"#0D0D0D,#C0C0C0,#8B0000,#F5F5DC","Bodoni Moda + Crimson Pro | Film noir dramatic serif","High contrast layout with dramatic lighting and shadow play","Venetian blind reveals, spotlight sweep, smoke particle drift","Sharp 0px, deep shadows, film-grain overlay, high contrast","mystery,thriller,nightlife,whiskey,cigar","Intrigue + Sophistication + Danger",3,"No bright colors, no playful fonts, no rounded corners, no modern minimalism","Film grain texture overlay with venetian blind shadow patterns","scroll-timeline,view-transitions","1940s film noir aesthetic. Every page feels like a scene from a detective movie."
memphis-chaos,The Memphis Rebel,Expressive,"#FF6B6B,#4ECDC4,#FFE66D,#2C3E50,#FF69B4","Bungee + Rubik | Bold geometric display + quirky body","Chaotic grid-breaking layout with scattered geometric shapes","Bounce physics, shape rotation, random position shifts","Mixed geometric: circles triangles zigzags, varied radius","design,youth,creative,advertising,pop-culture","Fun + Rebellion + Creativity",4,"No minimalism, no corporate grid, no muted colors, no predictable layout","Floating geometric shapes (triangles circles squiggles) that react to cursor","scroll-timeline,view-transitions,container-queries","Memphis design movement reborn digitally. Organized chaos with geometric rebellion."
nordic-frost,The Nordic Frost,Minimal,"#F7F7F7,#2C3E50,#6C7A89,#BDC3C7,#3498DB","Archivo + Inter | Clean Nordic sans with airy spacing","Expansive layout with ice-crystal clarity and breathing room","Frost crystallize reveals, slow float, ice-crack transitions","Clean 4px radius, subtle borders, frosted glass selective use","scandinavian,furniture,architecture,tech,wellness","Serenity + Purity + Focus",1,"No warm colors, no busy patterns, no decorative elements, no dark themes","Frosted glass section headers with ice-crystal edge detail","container-queries,anchor-positioning","Scandinavian clarity in digital form. Cold precision that feels refreshingly clean."
comic-book,The Comic Hero,Playful,"#FFD700,#FF4136,#0074D9,#FFFFFF,#111111","Bangers + Lato | Comic book display with clean readable body","Panel-based layout with comic grid structure and speech bubbles","POW/BAM burst animations, panel-to-panel transitions, zoom reveals","Sharp 0px with thick 3-4px borders, halftone dot patterns","entertainment,kids,gaming,comics,superhero","Excitement + Adventure + Fun",4,"No minimalism, no subtle approach, no corporate feel, no thin borders","Halftone dot pattern backgrounds with comic panel transitions","view-transitions,scroll-timeline","Web pages as comic book panels. Every interaction feels like a superhero moment."
corporate-rebel,The Corporate Rebel,Corporate,"#FFFFFF,#1A1A1A,#FF4444,#F5F5F5","Clash Display + Satoshi | Bold modern display breaking corporate norms","Professional grid with strategic rule-breaking moments","Confident slide-ins, subtle hover transforms, precision timing","Clean 6px radius, bold accent borders 3px on key elements","enterprise,b2b,consulting,corporate,legal","Trust + Authority + Modernity",2,"No playful elements, no extreme colors, no experimental layouts, but also no boring templates","Strategic red accent that disrupts the corporate palette with confidence","container-queries,anchor-positioning","Corporate design that refuses to be boring. Professional but never predictable."
vaporwave,The Vaporwave Prophet,Retro,"#FF71CE,#01CDFE,#05FFA1,#B967FF,#FFFB96","Monoton + Space Grotesk | Retro-futuristic vaporwave display","Surreal grid with marble columns and palm tree overlays","Slow zoom, VHS tracking glitch, roman statue rotation","Mixed: sharp classical meets soft neon glow","music,fashion,art,vintage,streetwear","Nostalgia + Irony + Aesthetics",4,"No corporate feel, no modern minimalism, no earth tones, no serious approach","VHS tracking distortion lines that randomly glitch across sections","scroll-timeline,view-transitions","A E S T H E T I C. Roman busts meet neon dreams in digital fever dream."
high-fashion,The Haute Couture,Luxury,"#FFFFFF,#000000,#F5F5F5","Didot + Montserrat | Ultra-thin elegant display + minimal sans","Full-bleed photography with minimal overlay text","Slow crossfade, editorial page turn, zoom-on-scroll","Sharp 0px radius, no borders, typography-only structure","fashion,luxury,beauty,fragrance,jewelry","Desire + Exclusivity + Beauty",3,"No UI components visible, no tech aesthetic, no colorful accents, no busy layouts","Full-bleed fashion photography with ultra-thin text overlays barely visible","view-transitions,scroll-timeline","High fashion editorial translated to web. The product IS the design."
origami-fold,The Origami Master,Artistic,"#FAFAF5,#E8D5B7,#2C1810,#CC4B37,#4A7C59","Noto Serif JP + Zen Kaku Gothic | Japanese typography with respect","Paper-fold inspired sections that unfold on scroll","Paper fold/unfold animations, crease shadow, page flip","Mixed: sharp fold lines with soft paper curves","japanese,craft,stationery,tea,design","Precision + Craft + Beauty",3,"No heavy borders, no digital-first aesthetic, no aggressive animations","Paper fold 3D CSS transforms that unfold content sections like origami","view-transitions,scroll-timeline","Digital origami. Every section unfolds with the precision of paper craft."
tech-terminal,The Terminal Operator,Futuristic,"#0D1117,#00FF41,#C9D1D9,#58A6FF","Fira Code + JetBrains Mono | Full monospace terminal aesthetic","Code-editor inspired layout with line numbers and syntax highlighting","Typewriter effect, cursor blink, code compile animation","Sharp 0px, code-block borders, terminal window chrome","developer-tools,devops,cli,open-source,cybersecurity","Competence + Authenticity + Hacker Culture",3,"No serif fonts, no imagery-heavy design, no marketing fluff, no rounded buttons","Terminal-style typing animation for all content with blinking cursor","scroll-timeline,view-transitions","The entire website IS a terminal. Navigate by typing or scrolling through code."
maximalist-baroque,The Digital Baroque,Maximalist,"#1A0A2E,#FFD700,#FF1493,#4169E1,#00FF7F","Abril Fatface + Poppins | Ornate display meets readable body","Layered maximalist composition — every inch has detail","Particle explosions, ornament growth, fractal animations","Ornate curves, scrollwork borders, no sharp minimalism","music,festival,nightclub,luxury-brand,entertainment","Overwhelm + Luxury + Spectacle",5,"No whitespace worship, no minimalism, no restrained palette, no subtle approach","Ornamental SVG scrollwork that grows and decorates section borders","scroll-timeline,view-transitions,container-queries","More is more. Digital maximalism where every pixel earns its extravagance."
blueprint-architect,The Blueprint,Industrial,"#FFFFFF,#003366,#0066CC,#E8E8E8","Archivo Narrow + Roboto | Technical condensed headers + clean body","Blueprint grid with technical drawings and dimension lines","Line-draw animations, measurement reveal, grid fade-in","Sharp 0px, dashed borders, dimension line aesthetics","architecture,engineering,construction,real-estate","Precision + Vision + Structure",2,"No organic shapes, no decorative elements, no playful colors","Blueprint dimension lines and technical annotations on layouts","container-queries,anchor-positioning","Website as architectural blueprint. Technical precision meets design clarity."
carnival-circus,The Carnival Ringmaster,Playful,"#FF0000,#FFD700,#FFFFFF,#000000,#FF4500","Righteous + Barlow | Circus poster display + condensed body","Marquee-style sections with tent-stripe borders and spotlight","Marquee scroll, spotlight follow, curtain reveal, firework burst","Mixed: scalloped edges, tent-stripe borders, circular badges","event,circus,festival,amusement,kids","Excitement + Wonder + Spectacle",4,"No minimalism, no dark moody themes, no corporate grid, no subtle approach","Animated marquee lights border that cycles through bulb colors","scroll-timeline,view-transitions","Step right up! Carnival energy with digital marquee lights and ringmaster showmanship."
scandinavian-cozy,The Hygge Designer,Organic,"#FDF6EC,#3C3C3C,#B5651D,#E8D5B7,#6B8E6B","DM Serif Display + Jost | Warm serif + modern humanist sans","Cozy layout with knit-pattern borders and warm spacing","Gentle float, warm glow reveal, candle flicker accent","Soft 12-16px radius, knit-texture borders, cozy soft shadows","home,furniture,food,lifestyle,craft","Comfort + Warmth + Belonging",1,"No cold colors, no tech aesthetic, no sharp edges, no aggressive CTAs","Warm ambient glow effect behind hero content like candlelight","scroll-timeline,container-queries","Danish hygge as design philosophy. Every element wrapped in warmth and comfort."
abstract-expressionist,The Abstract Expressionist,Artistic,"#FFFFFF,#000000,#FF4500,#1E90FF,#FFD700","Space Grotesk + Inter | Clean sans letting art be the star","Canvas-like layout with paint splatter accents and gesture marks","Paint splash reveals, brush stroke transitions, drip animations","No defined shapes — organic paint strokes and gestural marks","art,gallery,creative,studio,culture","Emotion + Freedom + Expression",4,"No structured grid, no corporate patterns, no clean borders, no predictable layout","Paint splatter SVG accents that appear dynamically on scroll","scroll-timeline,view-transitions","Pollock meets pixels. Design as abstract art where every gesture is intentional."
modular-system,The Modular System,Corporate,"#FFFFFF,#0A0A0A,#2563EB,#F3F4F6","Geist + Geist Mono | Vercel-inspired modern system fonts","Component-based modular grid with clear visual hierarchy","Precise 200ms transitions, grid reflow, component mount animations","Clean 8px radius, consistent 1px borders, systematic spacing","saas,enterprise,developer-tools,b2b,fintech","Professionalism + System + Scalability",1,"No decorative elements, no organic shapes, no experimental layouts, no custom fonts","Design token system visible in consistent spacing and color application","container-queries,anchor-positioning","Design systems as design itself. Every pixel follows the token spec."
street-art,The Street Artist,Expressive,"#FFFFFF,#FF1744,#FFD600,#00E5FF,#1A1A1A","Permanent Marker + Roboto | Hand-painted display + clean fallback","Spray paint canvas with drip effects and stencil typography","Spray paint reveal, stencil stamp, drip animation, shake","Irregular: spray edges, stencil cutouts, no clean borders","streetwear,music,skateboard,graffiti,urban","Rebellion + Creativity + Urban Energy",5,"No corporate anything, no clean lines, no subtle palette, no minimalism","Spray paint texture that reveals content like street art stencil","scroll-timeline,view-transitions","Walls became screens. Street art energy with spray-can authenticity."
quantum-minimal,The Quantum Minimalist,Minimal,"#FEFEFE,#0A0A0A,#6366F1","Inter + Space Grotesk | One accent color maximum restraint","Near-empty layout — one element per viewport, pure focus","Single element reveals, quantum particle float, minimal morph","Barely there: 0px radius, invisible borders, shadow-only depth","luxury-tech,architecture,portfolio,minimal-brand","Focus + Clarity + Precision",2,"No color variety, no busy layouts, no multiple elements competing, no decoration","One-thing-per-screen philosophy — radical reduction to single focal points","view-transitions,scroll-timeline","Minimalism taken to quantum level. Not just less — almost nothing. But perfect."
retro-futurism,The Retro Futurist,Retro,"#0B3D91,#FF6B35,#F5DEB3,#1A1A1A,#E8E8E8","Orbitron + Barlow | Space-age display + functional body","Mid-century space age layout with atomic motifs and starbursts","Rocket launch reveals, orbit animations, starburst bursts","Atomic age: starburst shapes, boomerang curves, rounded 12px","space,science,education,entertainment,brand","Wonder + Optimism + Discovery",3,"No modern flat design, no dark moody themes, no grunge, no corporate blandness","Atomic starburst decorations and orbit path animations","scroll-timeline,view-transitions","1960s space age optimism. Atomic-era design that believed the future was beautiful."
kinetic-sculptor,The Kinetic Sculptor,Experimental,"#F5F5F5,#1A1A1A,#FF3366","Syne + Inter | Clean canvas for motion as primary medium","Motion-first layout where static screenshots are meaningless","Continuous motion: rotating elements, flowing particles, kinetic type","Fluid: elements have no fixed shape, constant transformation","creative-agency,portfolio,art,motion-design","Movement + Innovation + Artistry",5,"No static design, no grid rigidity, no conventional sections, no template structure","Elements in perpetual motion — the design never stops moving","scroll-timeline,view-transitions,container-queries","Motion is the medium. Every element dances, and stillness would kill the design."
medical-clean,The Medical Professional,Corporate,"#FFFFFF,#1A5276,#48C9B0,#F0F3F4,#2C3E50","Open Sans + Lato | Trustworthy readable sans-serif throughout","Clean clinical layout with organized information hierarchy","Subtle fade-ins, pulse animation on health metrics, smooth transitions","Clean 8px radius, soft borders, organized card structure","healthcare,medical,pharma,biotech,wellness","Trust + Safety + Professionalism",1,"No dark themes, no experimental layouts, no aggressive colors, no playful elements","Heartbeat pulse animation accent on key health metrics and CTAs","container-queries,anchor-positioning","Clinical precision meets digital clarity. Design that a doctor would trust."
neo-brutalist,The Neo Brutalist,Brutalist,"#FFFFFF,#000000,#FF5733,#FFC300","Syne + Archivo | Bold geometric modern display","Thick borders, visible shadows, raw HTML energy","Instant transitions, no easing, raw state changes","Sharp 0px, thick 4px borders, offset box-shadows 4-8px","startup,indie,developer,portfolio,agency","Honesty + Directness + Boldness",3,"No subtle shadows, no thin borders, no hidden structure, no smooth transitions","Thick offset box-shadow (4px 4px 0px black) on every interactive element","container-queries,anchor-positioning","Raw web honesty. What you see is literally what you get — no CSS magic tricks."
cinematic-scroll,The Cinematic Director,Experimental,"#000000,#FFFFFF,#C0A062","Bebas Neue + Montserrat | Cinematic wide display + clean sans","Full-viewport scenes connected by scroll-driven narrative","Scroll-hijack scenes, parallax depth, cinematic fade between scenes","Full-bleed: no borders, no containers, edge-to-edge cinema","film,automotive,travel,real-estate,luxury","Drama + Immersion + Story",4,"No small viewports, no card layouts, no sidebar navigation, no traditional sections","Full-screen cinematic scene transitions triggered by scroll position","scroll-timeline,view-transitions","Website as movie. Every scroll is a scene change in a visual narrative."
punk-zine,The Punk Zine,Brutalist,"#FFFFFF,#000000,#FF0000,#FFFF00","Archivo Black + Courier Prime | Punk headline + typewriter body","Cut-and-paste collage layout with ransom note typography","Rough transitions, tape-strip reveals, ripped paper","Irregular: torn edges, tape strips, cut-out shapes, no borders","music,punk,indie,zine,counterculture","Anarchy + Authenticity + DIY",5,"No clean design, no corporate structure, no smooth animations, no luxury feel","Ransom-note style mixed typography — each word in different font/size/angle","view-transitions,scroll-timeline","DIY punk zine energy. Scissors and glue translated to CSS with maximum attitude."
liquid-glass-oracle,The Liquid Glass Oracle,Experimental,"#F0F4FF,#0A84FF,#FFFFFF,#E8ECF0,#1C1C1E","SF Pro + system-ui | Apple system aesthetic with optical clarity","Translucent layered panels with light refraction and depth","Glass shimmer on scroll, frosted reveal transitions, light-reactive blur","Soft 16-20px radius, translucent borders, specular highlight edges","tech,saas,productivity,finance,premium-app","Clarity + Premium + Innovation",3,"No opaque backgrounds, no flat design, no heavy borders, no dark-only themes","Translucent glass panels with real-time light refraction responding to scroll position","scroll-timeline,view-transitions,container-queries,backdrop-filter","Apple's 2026 Liquid Glass language for web. Translucent depth where light itself becomes the interface material."
human-scribble-artist,The Human Scribble,Cultural,"#FFFFF5,#1A1A1A,#FF6B35,#4A90D9","Caveat + DM Sans | Hand-drawn display + clean readable body","Organic layout with doodle borders and sketch annotations","Hand-draw SVG path animations, wobble hover, pencil-sketch reveals","Irregular hand-drawn borders, no straight lines, sketch circles","creative,education,nonprofit,indie,personal-brand","Authenticity + Warmth + Human Touch",3,"No pixel-perfect alignment, no AI-polished aesthetic, no stock imagery, no corporate grid","Hand-drawn SVG doodle annotations and sketch borders proving human authorship","scroll-timeline,view-transitions","Anti-AI rebellion through deliberate imperfection. Every wobbly line screams human-made in a world of AI polish."
