name,url,sector,style_category,why_masterpiece,standout_feature,matching_personas,year_noted
Emilie Aubry,https://www.emilieaubry.com,Portfolio / Agency / Creative,Swiss Minimalist,"Awwwards SOTD - elegant minimal film editor portfolio",Video-forward layout with monochromatic palette,"Swiss Minimalist,Cinematic Storyteller,Minimalist",2026
Ragged Edge,https://raggededge.com,Portfolio / Agency / Creative,Typographic,"Bold branding agency with typography-driven website",Large-scale type animations on scroll,"Typographic,Bold Visionary,Corporate Elegant",2025
Porto Rocha,https://www.portorocha.com,Portfolio / Agency / Creative,Typographic,"NY design studio with Pentagram DNA - visual storytelling",Editorial grid with oversized typography system,"Typographic,Editorial,Creative Professional",2025
Monopo,https://monopo.co.jp,Portfolio / Agency / Creative,Organic,"Tokyo creative agency blending East-West design sensibility",Smooth page transitions with Japanese design aesthetics,"Organic,Minimalist,Creative Professional",2025
14islands,https://14islands.com,Portfolio / Agency / Creative,Playful,"Stockholm studio crafting joyful digital experiences",Playful micro-interactions with WebGL elements,"Playful,Creative Professional,Organic",2025
Studio Dialect,https://studiodialect.com,Portfolio / Agency / Creative,Futuristic,"Awwwards SOTD 2026 - interactive production for every screen",Interactive 3D product configurators,"Futuristic,Creative Professional,Bold Visionary",2026
Alche Studio,https://alche.studio,Portfolio / Agency / Creative,Organic,"Top 100 creative portfolio 2025 - organic digital craft",Organic layout transitions with natural motion curves,"Organic,Minimalist,Creative Professional",2025
Geex Arts,https://www.geex-arts.com,Portfolio / Agency / Creative,Liquid Digital,"Creative studio with fluid immersive portfolio experience",WebGL liquid distortion effects on project hovers,"Liquid Digital,Creative Professional,Experimental",2025
Stripe Press,https://press.stripe.com,Editorial / Media / Blog,Editorial,"Publishing house with groundbreaking 3D book showcase",3D book rendering with parallel scroll animation,"Editorial,Typographic,Corporate Elegant",2025
The Pudding,https://pudding.cool,Editorial / Media / Blog,Experimental,"Visual essays redefining data journalism with code",Scroll-driven data visualizations built with Svelte,"Experimental,Editorial,Data-Driven",2025
The Verge,https://www.theverge.com,Editorial / Media / Blog,Maximalist,"Bold redesign pushing editorial web to new frontiers",Duotone visual system with magazine-style layouts,"Maximalist,Editorial,Bold Visionary",2025
Readymag Websites of Year,https://readymag.com/websites-of-the-year,Editorial / Media / Blog,Swiss Minimalist,"Award showcase celebrating best no-code web designs",Curated gallery with smooth hover state previews,"Swiss Minimalist,Editorial,Creative Professional",2025
It's Nice That,https://www.itsnicethat.com,Editorial / Media / Blog,Editorial,"Premier creative industry publication with clean design",Card-based editorial grid with refined typography,"Editorial,Creative Professional,Minimalist",2025
Codrops,https://tympanus.net/codrops,Editorial / Media / Blog,Experimental,"Leading creative web development tutorials and demos",Interactive CSS/WebGL demo showcases,"Experimental,Developer-First,Creative Professional",2025
Hoverstat.es,https://www.hoverstat.es,Editorial / Media / Blog,Brutalist,"Home of alternative web design - curating the unexpected",Raw brutalist gallery of experimental websites,"Brutalist,Experimental,Creative Professional",2025
Creative Boom,https://www.creativeboom.com,Editorial / Media / Blog,Editorial,"UK creative publication with clean modern editorial design",Grid-based showcase with excellent white space usage,"Editorial,Minimalist,Creative Professional",2025
TYPE01,https://type-01.com,Editorial / Media / Blog,Typographic,"Kinetic typography magazine showcasing motion type art",Full-screen kinetic typography showcases,"Typographic,Experimental,Creative Professional",2025
Revolut,https://www.revolut.com,Fintech / Finance,Liquid Digital,"Bold fintech breaking banking conventions with vibrant design",Dynamic gradient system with product feature animations,"Liquid Digital,Bold Visionary,Futuristic",2025
Wise,https://wise.com,Fintech / Finance,Swiss Minimalist,"Complex money transfers made visually simple and transparent",Embedded live currency converter with animated rates,"Swiss Minimalist,Corporate Elegant,Trustworthy",2025
Ramp,https://ramp.com,Fintech / Finance,Swiss Minimalist,"Corporate finance SaaS that feels modern and data-driven",Interactive savings calculator with real-time data viz,"Swiss Minimalist,Corporate Elegant,Data-Driven",2025
Mercury,https://mercury.com,Fintech / Finance,Dark Luxury,"Banking for startups with sophisticated dark mode aesthetic",High-fidelity product screenshots with dark UI system,"Dark Luxury,Corporate Elegant,Developer-First",2025
Marqeta,https://www.marqeta.com,Fintech / Finance,Liquid Digital,"Card issuing platform with stunning scroll-following animation",3D credit card animation following user scroll position,"Liquid Digital,Futuristic,Corporate Elegant",2025
Fingerprint,https://fingerprint.com,Fintech / Finance,Dark Luxury,"Fraud detection with bold contrasting orange-black scheme",Real-time fraud detection animation demonstrations,"Dark Luxury,Bold Visionary,Developer-First",2025
Apple,https://www.apple.com,E-commerce / Brand / Luxury,Cinematic,"Industry benchmark for scroll-driven product storytelling",Scroll-triggered cinematic product reveal animations,"Cinematic Storyteller,Swiss Minimalist,Dark Luxury",2025
Porsche,https://www.porsche.com,E-commerce / Brand / Luxury,Dark Luxury,"Automotive luxury digital experience with dark sophistication",Full-screen hero transitions with model configurator,"Dark Luxury,Cinematic Storyteller,Automotive",2025
Gucci,https://www.gucci.com,E-commerce / Brand / Luxury,Maximalist,"Luxury fashion with surprisingly understated digital presence",Massive typography with zoom-scroll interaction,"Maximalist,Dark Luxury,Editorial",2025
Aesop,https://www.aesop.com,E-commerce / Brand / Luxury,Organic,"Skincare brand where website mirrors tactile store experience",Warm color palette with editorial product storytelling,"Organic,Swiss Minimalist,Editorial",2025
Rapha,https://www.rapha.cc,E-commerce / Brand / Luxury,Editorial,"Premium cycling brand with editorial-first ecommerce approach",Cinematic cycling photography with editorial layouts,"Editorial,Cinematic Storyteller,Organic",2025
Rolex,https://www.rolex.com,E-commerce / Brand / Luxury,Cinematic,"Timeless luxury brand with video-driven storytelling",Hero background videos with philanthropic storytelling,"Cinematic Storyteller,Dark Luxury,Corporate Elegant",2025
Sothebys Realty,https://www.sothebysrealty.com,Architecture / Real Estate,Dark Luxury,"Luxury real estate with AR tours and editorial property pages",Augmented reality property tours with 3D walkthroughs,"Dark Luxury,Corporate Elegant,Cinematic Storyteller",2025
Prada,https://www.prada.com,E-commerce / Brand / Luxury,Swiss Minimalist,"Monochromatic luxury ecommerce distilling brand DNA",Monochromatic palette with minimalist product grid,"Swiss Minimalist,Dark Luxury,Minimalist",2025
Shopify Editions,https://www.shopify.com/editions/winter2026,E-commerce / Brand / Luxury,Art Deco,"Renaissance Edition - 150+ updates with generative art mashup",Generative AI paintings merged with commerce elements,"Art Deco,Maximalist,Bold Visionary",2026
Headspace,https://www.headspace.com,Health / Wellness,Playful,"Meditation app with warm approachable brand design",Character-driven animations with calming color transitions,"Playful,Organic,Wellness",2025
Calm,https://www.calm.com,Health / Wellness,Organic,"Nature-inspired wellness design creating serene digital space",Ambient nature soundscapes with immersive visual backgrounds,"Organic,Wellness,Cinematic Storyteller",2025
Hims and Hers,https://www.hims.com,Health / Wellness,Swiss Minimalist,"Healthcare that feels like a premium consumer brand",Bold lifestyle photography with simplified care pathways,"Swiss Minimalist,Bold Visionary,Wellness",2025
Vibrant Wellness,https://vibrant.noomoagency.com,Health / Wellness,Futuristic,"Awwwards SOTD - interactive digital health experience",Interactive health data visualization with 3D elements,"Futuristic,Organic,Data-Driven",2026
Farm Minerals,https://www.farmminerals.com,Health / Wellness,Organic,"Awwwards SOTD - biotech startup with fresh visual approach",Organic visual metaphors with smooth scroll storytelling,"Organic,Minimalist,Swiss Minimalist",2026
Duolingo,https://www.duolingo.com,Education / EdTech,Playful,"128M users - gamification UX masterclass with character design",Gamified streaks and character-driven micro-interactions,"Playful,Gamified,Wellness",2025
Brilliant,https://brilliant.org,Education / EdTech,Playful,"Interactive STEM learning with visual problem-solving design",Interactive math/science visualizations embedded in lessons,"Playful,Data-Driven,Educational",2025
Coursera,https://www.coursera.org,Education / EdTech,Swiss Minimalist,"Clean professional learning platform with intuitive navigation",Structured learning paths with progress visualization,"Swiss Minimalist,Corporate Elegant,Educational",2025
Khan Academy,https://www.khanacademy.org,Education / EdTech,Swiss Minimalist,"Free education for everyone with accessible clean design",Adaptive learning interface with progress mastery system,"Swiss Minimalist,Educational,Minimalist",2025
Three.js Journey,https://threejs-journey.com,Education / EdTech,Dark Luxury,"Bruno Simon's WebGL course with immersive 3D landing page",Interactive 3D course preview with WebGL demonstrations,"Dark Luxury,3D Artist,Developer-First",2025
Riot Games,https://www.riotgames.com,Gaming / Entertainment,Dark Luxury,"Global gaming powerhouse with immersive dark brand universe",Dynamic hero sections with game-specific visual systems,"Dark Luxury,Cinematic Storyteller,Bold Visionary",2025
Valorant,https://playvalorant.com,Gaming / Entertainment,Futuristic,"FPS game site with bold neon aesthetics and tactical feel",Character reveal animations with neon accent system,"Futuristic,Bold Visionary,Dark Luxury",2025
PlayStation,https://www.playstation.com,Gaming / Entertainment,Dark Luxury,"Console brand site with immersive dark gaming atmosphere",Dark theme with bold color accents and game previews,"Dark Luxury,Cinematic Storyteller,Bold Visionary",2025
Epic Games / Fortnite,https://www.fortnite.com,Gaming / Entertainment,Maximalist,"Bold colors and character visuals with interactive elements",Dynamic character showcases with seasonal visual updates,"Maximalist,Playful,Bold Visionary",2025
Twitch,https://www.twitch.tv,Gaming / Entertainment,Dark Luxury,"Live streaming platform with vibrant purple-dark aesthetic",Real-time stream previews with interactive hover states,"Dark Luxury,Playful,Bold Visionary",2025
OceanX Year in Review,https://2025.oceanx.org,Non-profit / Social Impact,Cinematic,"Awwwards SOTD - ocean exploration year in review experience",Scroll-driven deep-sea narrative with immersive visuals,"Cinematic Storyteller,Organic,Editorial",2026
charity:water,https://www.charitywater.org,Non-profit / Social Impact,Organic,"Gold standard nonprofit transparency with stunning visuals",Interactive donation maps with real-time impact tracking,"Organic,Editorial,Trustworthy",2025
The Ocean Cleanup,https://theoceancleanup.com,Non-profit / Social Impact,Cinematic,"Ocean conservation with interactive data-driven storytelling",Real-time ocean plastic data visualization,"Cinematic Storyteller,Data-Driven,Organic",2025
UNICEF,https://www.unicef.org,Non-profit / Social Impact,Swiss Minimalist,"Global humanitarian brand with accessible modern design",Data-driven impact dashboards with global reach maps,"Swiss Minimalist,Editorial,Trustworthy",2025
Nordiska Museet,https://www.nordiskamuseet.se,Other (Museum/Culture),Editorial,"2025 Webby winner - heritage storytelling through design",Scroll-zoom emblem framing device into embedded video,"Editorial,Organic,Cinematic Storyteller",2025
Guggenheim Bilbao,https://www.guggenheim-bilbao.eus,Other (Museum/Culture),Cinematic,"Iconic museum website matching architectural grandeur",Full-screen hero video with tile-based exhibition grid,"Cinematic Storyteller,Minimalist,Editorial",2025
Nottingham Contemporary,https://www.nottinghamcontemporary.org,Other (Museum/Culture),Brutalist,"Deliberately retro brutalist aesthetic for contemporary art",Rotating micro-interactions with brutalist layout grid,"Brutalist,Experimental,Playful",2025
Toggl,https://toggl.com,SaaS / Tech Startup,Brutalist,"Neo-brutalist SaaS with embedded mini-games breaking norms",Brutalist design with interactive mini-games,"Brutalist,Playful,Bold Visionary",2025
Gumroad,https://gumroad.com,SaaS / Tech Startup,Brutalist,"Pure neo-brutalism redefining digital marketplace identity",Neon-esque clashing colors with thick border components,"Brutalist,Bold Visionary,Maximalist",2025
Inkwell,https://inkwell.tech,SaaS / Tech Startup,Cinematic,"Awwwards SOTD - AI platform with scroll-driven narrative",Scroll-driven WebGL scenes with physics-based motion,"Cinematic Storyteller,Futuristic,Experimental",2025
Ciridae,https://www.ciridae.com,SaaS / Tech Startup,Futuristic,"Awwwards SOTD - AI intelligence company with bold presence",Abstract 3D visualizations with dark futuristic palette,"Futuristic,Dark Luxury,Bold Visionary",2026
SILEENT,https://www.sileent.com,SaaS / Tech Startup,Cinematic,"Awwwards SOTD - AI content studio with immersive storytelling",Cinematic video transitions with typographic overlays,"Cinematic Storyteller,Futuristic,Creative Professional",2026
D2C Life Science,https://www.d2c-lifescience.com,Other (Biotech/Science),Futuristic,"Awwwards SOTD - algorithmic Rubik's Cube as brand metaphor",Self-solving 3D Rubik's Cube representing six pillars,"Futuristic,Experimental,Data-Driven",2026
Voku Studio,https://voku.studio,Portfolio / Agency / Creative,Futuristic,"Awwwards SOTD 2026 - AI-crafted creative studio from Madrid",AI-generated visual experiments with immersive scroll,"Futuristic,Experimental,Creative Professional",2026
Noma,https://noma.dk,Food / Restaurant,Organic,"World's best restaurant with minimal Nordic digital presence",Seasonal ingredient maps with foraging-inspired navigation,"Organic,Minimalist,Editorial",2025
The Fat Duck,https://thefatduck.co.uk,Food / Restaurant,Swiss Minimalist,"Heston Blumenthal's restaurant - minimalist culinary design",Soft flavor pairing animations with muted palette,"Swiss Minimalist,Organic,Minimalist",2025
Eleven Madison Park,https://www.elevenmadisonpark.com,Food / Restaurant,Swiss Minimalist,"Fine dining website with refined minimal elegance",Full-screen food photography with reservation-first UX,"Swiss Minimalist,Minimalist,Organic",2025
FlowFest 2025,https://www.flowfest.co.uk,Other (Event/Conference),Maximalist,"Awwwards SOTD - Webflow conference with bold event design",Dynamic event schedule with animated speaker reveals,"Maximalist,Playful,Bold Visionary",2025
Pentagram,https://www.pentagram.com,Portfolio / Agency / Creative,Swiss Minimalist,"World's largest independent design consultancy portfolio",Grid-based case study system with refined transitions,"Swiss Minimalist,Corporate Elegant,Typographic",2025
Sagmeister and Walsh,https://sagmeisterwalsh.com,Portfolio / Agency / Creative,Experimental,"Legendary design duo with provocative experimental portfolio",Unexpected interactive elements defying conventions,"Experimental,Bold Visionary,Maximalist",2025
MoMA,https://www.moma.org,Other (Museum/Culture),Swiss Minimalist,"Modern art museum with clean browsable digital collection",Online collection with half catalog viewable digitally,"Swiss Minimalist,Editorial,Minimalist",2025
Midjourney,https://www.midjourney.com,SaaS / Tech Startup,Dark Luxury,"AI image generation with mysterious dark portal aesthetic",Dark atmospheric landing with AI-generated visual grid,"Dark Luxury,Futuristic,Experimental",2025
OpenAI,https://openai.com,SaaS / Tech Startup,Swiss Minimalist,"AI research company with sophisticated clean tech aesthetic",Minimal dark interface with research publication system,"Swiss Minimalist,Dark Luxury,Futuristic",2025
OH Architecture,https://oharchitecture.com,Architecture / Real Estate,Swiss Minimalist,"Awwwards SOTD April 2025 - architectural portfolio excellence",Full-bleed project photography with minimal chrome,"Swiss Minimalist,Minimalist,Cinematic Storyteller",2025
Belyi Ostrov House,https://belyiostrov.house,Architecture / Real Estate,Liquid Digital,"CSS Design Awards Special Kudos - horizontal scroll innovation",Horizontal scrolling residential complex showcase,"Liquid Digital,Experimental,Cinematic Storyteller",2025
Messenger by Abeto,https://msngr.abeto.co,Other (Experimental/Game),Experimental,"Awwwards Developer SOTY 2025 - calm multiplayer art game",WebGL multiplayer world with ambient interaction,"Experimental,Playful,Futuristic",2025
KARO Crafts,https://www.karocrafts.com,E-commerce / Brand / Luxury,Organic,"NYC handmade studio - art gallery turned digital playground",Handmade aesthetic with experimental video photography,"Organic,Experimental,Maximalist",2025
Stiff by Buzzworthy,https://stiff.madebybuzzworthy.com,Portfolio / Agency / Creative,Brutalist,"Bold creative showcase merging motion and typographic flair",Experimental transitions with texture-driven animations,"Brutalist,Typographic,Bold Visionary",2025
Orage Studio,https://orage.studio,Portfolio / Agency / Creative,Liquid Digital,"French creative studio with fluid poetic web presence",Liquid transitions between projects with soft motion,"Liquid Digital,Organic,Minimalist",2025
Joseph San,https://joseph-san.com,Portfolio / Agency / Creative,Typographic,"Designer portfolio with distinctive typographic presence",Custom type system with editorial layout composition,"Typographic,Minimalist,Swiss Minimalist",2025
Anton Repponen,https://rfrsh.io,Other (Art/Experimental),Bauhaus,"Readymag Jury Choice 2025 - 20yr designer pixel meditation",Minimal pixel art with scrolling photography narrative,"Bauhaus,Minimalist,Experimental",2025
Jo Iijima,https://joiijima.com,Portfolio / Agency / Creative,Maximalist,"Readymag Choice 2025 - bold colors with precise typography",Contrast of bold shapes with accurate type composition,"Maximalist,Typographic,Bold Visionary",2025
Wakuli Impact Report,https://impactreport.wakuli.com,Non-profit / Social Impact,Editorial,"Readymag Community Choice 2025 - Dutch coffee brand impact",Data-driven impact storytelling with scroll narrative,"Editorial,Organic,Data-Driven",2025
Shopify Live Globe,https://shopify.com/live-globe,E-commerce / Brand / Luxury,Futuristic,"Awwwards SOTD - real-time global commerce visualization",WebGL 3D globe with live transaction data streams,"Futuristic,Data-Driven,Cinematic Storyteller",2026
